Date,Open,High,Low,Close,Adj Close,Volume,Returns,Target
2008-12-31,50.74,51.69,49.91,51.28,51.23666666666667,7792200,0.0,-1
2009-01-02,51.35,54.53,51.07,54.36,53.413333333333334,7296400,0.05832777667052836,1
2009-01-05,55.73,55.74,53.03,54.06,55.17666666666667,9509800,-0.005534048434641332,-1
2009-01-06,54.55,58.22,53.75,57.36,56.71,11080100,0.05925265544306341,1
2009-01-07,56.29,56.95,55.35,56.2,56.48,7942700,-0.020430439391719495,-1
2009-01-08,54.99,57.32,54.58,57.16,56.49,6577900,0.01693759616202117,1
2009-01-09,56.92,57.0,54.7,55.51,56.47666666666667,6684100,-0.029291168359596748,-1
2009-01-12,54.12,54.3,50.87,51.92,53.44666666666666,9556300,-0.06685911230623531,-1
2009-01-13,50.96,53.29,50.75,51.45,51.9,7883200,-0.009093610115775877,-1
2009-01-14,50.1,50.1,48.14,48.49,49.56333333333333,10442600,-0.05925287116279767,-1
2009-01-15,48.56,52.23,47.63,51.44,50.74333333333333,11617300,0.05905848881210298,1
2009-01-16,51.8,52.33,49.53,51.59,51.906666666666666,8258200,0.0029117753271946014,1
2009-01-20,50.75,51.7,48.27,48.44,50.29666666666666,6767200,-0.0630019365716671,-1
2009-01-21,49.31,50.69,48.25,50.54,50.18,5829500,0.04243918327515672,1
2009-01-22,49.42,50.88,48.26,49.94,50.080000000000005,7133300,-0.011942817108420987,-1
2009-01-23,48.9,51.42,48.45,50.63,50.31666666666666,5793300,0.01372200113019074,1
2009-01-26,50.18,50.89,48.52,49.63,50.23333333333333,7155700,-0.019948796382468353,-1
2009-01-27,49.3,50.42,47.72,48.44,49.38666666666666,8738200,-0.02426957091445801,-1
2009-01-28,49.72,51.49,48.97,50.36,50.52333333333333,8056600,0.03887129049125493,1
2009-01-29,49.96,51.85,49.14,50.0,50.60333333333333,17966800,-0.00717420374800033,-1
2009-01-30,57.36,59.74,57.24,58.82,58.63999999999999,39783100,0.162458927697703,1
2009-02-02,58.57,62.0,58.13,61.15,60.57333333333333,19324300,0.03884792900733227,1
2009-02-03,60.87,64.2,60.0,63.59,62.88666666666666,14694600,0.03912636314613518,1
2009-02-04,63.38,63.44,60.83,61.06,62.626666666666665,13726300,-0.040599237972584704,-1
2009-02-05,61.15,63.81,60.63,63.18,62.71333333333334,10169600,0.034130808067207356,1
2009-02-06,63.18,67.0,63.18,66.55,65.57666666666667,12044900,0.05196574946718148,1
2009-02-09,66.56,67.36,65.38,66.71,66.87666666666667,9437600,0.002401321880303298,1
2009-02-10,66.15,67.23,63.07,63.31,65.56333333333333,10700600,-0.05231157216538876,-1
2009-02-11,63.1,64.9,62.25,64.35,64.11666666666666,8347300,0.016293639486100315,1
2009-02-12,63.25,64.25,61.71,63.96,63.82,8095500,-0.006079046076382115,-1
2009-02-13,63.97,64.68,62.87,63.26,63.97,4130900,-0.011004670088250713,-1
2009-02-17,61.67,62.65,61.18,61.67,61.99666666666667,7126100,-0.025455628874101275,-1
2009-02-18,62.27,62.78,60.52,62.35,62.46666666666667,7366000,0.010966083122644058,1
2009-02-19,62.84,64.18,61.67,61.95,62.99000000000001,6768900,-0.0064360640508940034,-1
2009-02-20,61.07,64.15,60.84,63.86,63.026666666666664,9354500,0.030365579211484514,1
2009-02-23,64.16,64.91,61.52,61.71,63.593333333333334,7336000,-0.03424719495366041,-1
